Customer_ID,Policy_Type,Customer_Segment,Customer_Age,Annual_Income,Claim_History_Count,Previous_Claim_Amount,Policy_Tenure_Years,Risk_Score,Insured_Value,Annual_Insurance_Premium
1000037,Home,Mass,22.0,325961.6,2,455412.3,12.5,51.02,331022.09,259022.26
1000038,Auto,Mass,18.0,710973.23,0,0.0,8.68,21.51,669005.25,4832.64
1000039,Health,Mass,51.3,1585392.15,3,179871.04,3.66,62.05,876420.83,110190.0
1000040,Home,Mass,18.0,747775.23,3,319037.05,11.24,58.15,714809.76,185563.79
1000041,Auto,Premium,37.2,565017.04,0,0.0,4.18,35.35,492811.97,9212.22
1000042,Home,Affluent,47.7,1497443.32,0,0.0,3.47,40.57,1409317.99,9520.63
1000043,Auto,Affluent,44.4,750296.58,0,0.0,6.34,34.68,538275.82,8255.32
1000044,Life,Mass,47.5,679805.22,1,123985.21,11.86,36.51,952290.24,77283.39
1000045,Auto,Premium,44.9,977106.46,0,0.0,5.74,28.22,922035.63,9194.48
1000046,Health,Affluent,58.6,1375135.26,0,0.0,6.56,31.34,1025429.16,8711.31
1000047,Home,Mass,29.6,3335364.36,0,0.0,2.79,40.4,4177777.72,14787.72
1000048,Health,Affluent,33.2,1418527.47,0,0.0,2.76,19.07,744159.82,7357.83
1000049,Health,Affluent,32.0,1703272.61,1,148540.99,1.32,38.06,1202799.72,91365.02
1000050,Auto,Mass,52.8,681375.37,0,0.0,2.75,35.45,576862.54,6318.57
1000051,Travel,Mass,7.0,,1,89921.06,2.83,45.54,253697.16,56636.45
1000052,Life,Affluent,146.0,931388.99,0,0.0,6.67,26.74,1054099.67,11930.0
1000053,Travel,Mass,57.4,-250000.0,3,359075.09,8.98,64.15,444095.45,206946.76
1000054,Life,Corporate,26.7,0.0,0,0.0,3.91,26.16,898759.73,13834.6
1000055,Health,Premium,63.7,817280.83,-2,217494.27,1.53,70.64,555986.17,135495.65
1000056,Travel,Affluent,61.8,1121048.23,3,245157.95,-1.5,57.94,465860.6,145444.66
1000057,Auto,Mass,51.6,1097303.55,3,262011.19,12.6,145.0,657604.94,153535.38
1000058,Auto,Mass,65.2,1187675.22,2,308748.31,7.7,-15.0,757283.37,179288.7
1000059,Auto,Affluent,20.5,1056192.1,0,0.0,3.1,35.41,-500000.0,7210.33
1000060,Home,Affluent,35.2,680984.81,1,93412.12,10.25,43.7,671172.65,-12500.0
1000061,Home,Mass,32.4,678408.37,1,135151.93,1.98,39.85,810798.22,82754.88
1000062,Auto,Affluent,51.4,465434.55,4,422025.42,2.96,68.9,256093.46,243558.43
1000063,Life,Premium,28.3,2401913.61,0,0.0,12.93,38.7,3779834.51,20500.83
1000064,Home,Mass,51.8,906682.62,0,0.0,3.94,35.25,1104665.04,7772.07
1000065,Auto,Mass,59.8,795304.92,1,69142.09,10.05,51.84,635761.67,47922.19
1000066,Health,Premium,51.0,539994.59,2,219935.63,5.09,61.77,260345.5,133582.86
1000067,Auto,Mass,45.7,4523343.04,0,0.0,7.63,44.19,3898546.85,17881.94
1000068,Life,Mass,29.2,498729.74,1,74556.11,3.28,48.64,707460.24,51064.56
1000069,Auto,Mass,31.0,710897.61,0,0.0,7.26,37.22,582207.55,7186.44
1000070,Travel,Mass,58.2,1131280.01,3,445210.76,5.69,54.96,658995.34,253591.86
1000071, auto ,Affluent,52.1,1252017.96,1,58759.68,3.48,41.5,1880539.46,44893.64
1000072,AUTO,Affluent,41.5,1524249.43,1,137204.39,4.33,47.07,1372763.98,88025.52
1000073,health ,Mass,36.6,2432268.02,1,107680.76,1.93,50.34,3022913.7,70156.35
1000074,Lifee,Premium,18.0,1188897.25,1,123049.55,7.83,59.16,1884153.15,82062.38
1000075,Home ,Premium,28.1,503497.03,0,0.0,11.3,42.25,512689.73,10348.4
1000076,Health, mass ,66.8,781390.44,0,0.0,3.8,35.71,606096.81,12090.11
1000077,Life,AFFLUENT,25.4,1066036.21,0,0.0,5.85,29.41,1589215.1,9733.12
1000078,Auto,premium ,44.5,2807133.36,1,88813.73,3.92,61.43,2302120.65,63366.68
1000079,Home,Corporrate,55.1,417215.03,3,451944.22,4.04,59.32,304022.91,263711.88
1000080,Auto,Mass  ,25.7,1743782.43,1,99959.49,1.28,41.68,1481990.25,67082.85
0001000081,Life,Mass,44.4,993612.87,1,118316.88,0.96,38.75,978125.4,74684.8
1000082,Health,Mass,54.2,1426817.27,0,0.0,11.44,52.08,834762.87,9886.06
1000083,Home,Mass,42.2,850902.6,0,0.0,1.17,41.98,973360.3,8422.3
1000084,Auto,Premium,79.3,566261.97,1,95473.71,6.65,47.72,572798.53,65282.94
1000085,Home,Affluent,20.3,1360183.36,0,0.0,8.68,26.71,1892425.34,9898.1
1000086,Home,Affluent,55.8,1289915.29,1,56694.5,6.28,50.12,1379950.8,39226.51
1000087,Health,Mass,39.8,1536136.99,0,0.0,4.6,38.26,1114987.62,9170.19
1000088,Health,Affluent,52.0,893438.24,0,0.0,11.77,46.47,772415.73,8289.5
1000089,Life,Premium,47.7,647094.7,1,74783.53,2.45,50.03,756138.72,54975.52
1000090,Home,Mass,32.5,381863.0,0,0.0,2.2,34.49,380448.09,7855.16
1000091,Auto,Premium,45.0,30000000.0,1,102923.89,5.12,41.79,925436.64,68086.16
1000092,Health,Corporate,18.0,45000000.0,2,140266.17,5.65,45.04,835546.94,91494.26
1000093,Life,Mass,49.8,529119.51,0,0.0,12.64,36.31,60000000.0,8722.72
1000094,Health,Affluent,45.9,669264.43,0,0.0,4.25,38.38,75000000.0,8510.19
1000095,Life,Mass,50.3,696228.16,0,10000000.0,17.99,40.38,1226783.7,9211.83
1000096,Home,Premium,55.8,398119.94,0,15000000.0,13.21,35.18,444541.69,10762.93
1000097,Health,Affluent,46.8,574022.99,0,0.0,6.69,99.0,485866.13,10383.53
1000098,Home,Affluent,43.9,482406.96,1,52011.19,12.03,42.77,501629.86,2500000.0
1000099,Auto,Premium,30.5,717326.64,0,0.0,12.34,30.03,881723.99,3200000.0
1000100,Auto,Mass,32.7,599509.09,1,12000000.0,1.63,40.44,338757.91,30508.88
1000101,Auto,Premium,57.4,367801.01,0,0.0,9.2,43.53,339855.67,9630.98
1000102,Health,Affluent,60.7,2737552.06,1,82049.03,6.19,49.63,1803615.24,57599.78
1000103,Home,Mass,38.9,1792366.63,0,0.0,2.62,40.71,2031052.93,9863.72
1000104,Health,Affluent,42.6,586360.09,1,161658.58,5.02,51.36,343580.58,99576.58
1000105,Life,Premium,30.2,1045474.92,1,82779.9,12.91,51.49,1365996.15,58266.22
1000106,Auto,Mass,57.2,1132293.57,3,390707.0,8.92,63.29,1049061.21,224886.65
1000107,Home,Premium,50.7,,1,111212.99,3.55,39.36,2292152.81,74719.35
1000108,Life,Premium,67.2,573731.78,1,53871.13,14.83,48.61,869762.92,41293.44
1000109,Auto,Mass,30.6,1640987.53,1,71123.25,14.96,35.4,1277712.6,45292.91
1000110,Auto,Corporate,37.1,665838.3,5,642397.05,8.4,81.74,1001300.24,371398.6
1000111,Auto,Mass,45.0,431673.9,0,0.0,8.9,53.01,453381.23,25.0
1000112,Auto,Mass,50.4,1340328.31,2,293660.95,13.6,57.84,1181063.47,40.0
1000113,Travel,Mass,39.2,1830440.44,1,195265.1,8.34,50.33,928973.44,15.0
1000114,Life,Premium,30.7,3735902.49,0,0.0,3.6,37.7,4953886.51,11189.98
1000115,Health,Affluent,53.5,465236.49,1,177087.06,2.87,50.02,334033.62,107728.35
1000116,Life,Mass,51.4,1321867.24,0,0.0,1.33,29.32,2456437.88,10712.82
1000117,Life,Mass,30.1,718383.88,0,0.0,9.15,35.3,925072.15,8504.79
1000118,Auto,Affluent,59.6,1384704.52,1,114941.24,5.97,42.65,878466.06,72563.58
1000119,Life,Mass,57.2,400865.32,1,182735.91,3.01,50.26,704431.57,109538.49
1000120,Health,Premium,43.7,449381.14,0,0.0,0.52,38.41,362583.99,11494.31
1000121,Life,Premium,43.0,587375.09,1,93821.12,1.54,58.8,764618.21,65457.55
1000122,Life,Affluent,49.2,939948.41,2,77741.65,9.46,59.44,1214248.42,54021.5
1000123,Home,Corporate,30.8,632575.81,2,177581.93,2.8,50.97,850578.85,112655.28
1000124,Auto,Mass,42.4,1293199.49,0,0.0,2.65,36.66,1145293.15,6750.06
1000125,Auto,Corporate,18.0,1583173.73,2,233159.46,3.57,57.89,992630.1,142273.21
1000126,Home,Affluent,53.4,1251580.47,0,0.0,6.73,40.74,1049213.77,9467.61
1000127,Life,Affluent,21.7,2192347.06,2,104925.56,5.93,49.3,3156911.26,69991.71
1000128,Life,Mass,61.5,1131273.66,2,127611.98,6.59,56.04,1938128.44,80285.25
1000129,Auto,Premium,37.7,460863.35,0,0.0,2.56,34.67,340187.2,10189.85
1000130,Health,Mass,39.2,1905027.73,2,158756.03,7.1,51.09,1680563.07,97231.11
1000131,Home,Mass,33.8,645199.02,1,94386.85,10.96,29.41,586953.94,59474.32
1000132,Auto,Mass,38.3,1484933.01,2,150597.31,0.35,39.78,1266332.96,90233.65
1000133,Auto,Affluent,60.4,2138689.6,0,0.0,4.42,44.94,2251416.43,7811.29
1000134,Home,Affluent,18.0,1156985.47,3,669596.45,3.81,63.64,1534325.92,381662.08
1000135,Travel,Affluent,58.6,395245.63,1,68994.65,4.52,51.03,264645.06,48412.3
1000136,Home,Premium,46.4,543145.95,0,0.0,2.64,34.36,854976.71,11377.8
1000137,Health,Mass,26.3,1862927.06,1,66193.74,5.31,31.39,1453954.71,48929.76
1000138,Health,Affluent,28.0,820059.82,0,0.0,3.56,40.86,771246.35,9708.18
1000139,Home,Mass,63.8,940263.55,2,111195.86,2.04,52.26,958635.86,71534.15
1000140,Travel,Premium,29.7,1366145.01,2,81505.06,7.54,53.24,673568.47,54958.4
1000141,Travel,Premium,27.0,1319980.63,1,128764.35,11.91,44.37,655520.01,81841.68
1000142,Auto,Affluent,56.8,1049149.02,0,0.0,5.4,45.04,909349.71,9663.53
1000143,Home,Affluent,46.4,802415.99,0,0.0,9.2,,732247.66,8782.59
1000144,Home,Mass,29.8,757805.77,1,199349.69,8.72,44.94,577624.07,117832.59
1000145,Auto,Mass,44.8,1442653.08,2,274498.44,13.99,51.22,956414.45,159337.28
1000146,Auto,Premium,28.7,1220307.32,1,120904.44,8.61,37.56,900750.34,76785.95
1000147,Health,Mass,56.3,781237.94,0,0.0,5.91,34.84,643050.75,8917.94
1000148,Health,Mass,55.8,1631991.84,1,50995.61,4.45,31.28,1205587.12,35431.85
1000149,Auto,Affluent,48.9,838341.89,0,0.0,3.24,38.69,640723.38,8781.99
1000150,Auto,Premium,46.7,563394.77,1,66698.24,5.56,56.61,370612.16,48262.86
1000151,Life,Mass,64.9,592861.54,1,168386.13,9.94,55.09,890451.55,103607.21
1000152,Auto,Mass,42.0,525361.87,0,0.0,12.5,40.03,607754.1,6742.54
1000153,Auto,Affluent,26.6,774772.36,0,0.0,3.3,29.92,627970.06,7583.79
1000154,Home,Premium,47.8,1773912.99,1,,3.76,53.21,1339180.38,25894.85
1000155,Travel,Mass,69.1,578010.72,3,218734.78,11.24,63.07,146688.18,129646.81
1000156,Auto,Mass,28.8,998302.6,0,0.0,14.45,46.56,918019.88,7259.4
1000157,Health,Mass,37.3,627168.74,3,288008.5,1.09,50.04,383533.54,167354.55
1000158,Life,Mass,47.4,779946.08,1,78122.03,5.52,40.88,1209832.94,50735.57
1000159,Auto,Mass,41.3,392239.29,0,0.0,8.57,32.35,203784.36,6486.33
1000160,Health,Affluent,29.2,797194.54,0,0.0,8.02,25.26,589539.31,
1000161,Home,Affluent,56.6,809046.83,1,50678.59,1.39,41.59,721043.77,39172.55
1000162,Health,Affluent,72.2,1211425.61,0,0.0,5.54,45.8,860705.7,11476.76
1000163,Health,Mass,44.5,1017597.02,1,43403.13,4.38,40.52,660970.41,32329.81
1000164,Health,Premium,30.2,465577.74,1,114276.18,1.86,15.36,411904.69,70676.65
1000165,Auto,Mass,21.9,1633865.24,0,0.0,8.93,41.53,1202706.3,10227.92
1000166,Life,Corporate,45.4,1010359.45,1,253605.71,12.22,33.89,1668577.5,151620.91
1000167,Home,Affluent,56.4,1003762.98,1,56597.51,5.88,52.22,860196.11,41834.85
1000168,Auto,Mass,48.2,895466.19,1,67445.16,4.45,46.52,886684.65,46043.22
1000169,Auto,Affluent,42.0,676970.82,2,214016.65,6.1,66.25,673500.55,129645.84
1000170,Health,Mass,34.3,1014535.4,1,64301.42,9.33,50.23,603589.35,44360.56
1000171,Health,Affluent,27.8,1169075.33,1,117222.84,0.89,38.28,710206.38,73656.77
1000172,Auto,Mass,52.9,344330.56,1,135622.01,12.8,42.41,213696.8,80930.47
1000173,Health,Mass,53.9,669195.54,2,297620.27,3.48,64.57,339540.64,175396.17
1000174,Auto,Premium,21.9,782249.65,0,0.0,6.87,23.69,579038.62,8780.19
1000175,Health,Mass,62.7,1036172.17,2,141884.03,5.85,57.32,925619.61,87930.09
1000176,Auto,Premium,49.5,1734918.67,1,98545.47,3.63,45.66,1455071.1,65410.79
1000177,Health,Mass,60.2,588712.13,2,723327.78,15.63,53.04,506035.43,406478.11
1000178,Home,Affluent,24.6,684381.66,1,156895.73,8.98,43.58,610685.18,96056.34
1000179,Travel,Affluent,24.2,678918.44,0,0.0,11.21,35.86,308885.65,7512.99
1000180,Auto,Affluent,40.1,579145.99,0,0.0,2.61,41.22,490084.03,8955.73
1000181,Home,Mass,48.5,743554.59,1,91863.76,8.33,47.35,990808.89,61259.46
1000182,Auto,Mass,65.4,1375174.6,0,0.0,6.16,46.5,1798356.53,8257.78
1000183,Travel,Mass,51.2,504105.33,1,38629.52,5.52,47.61,167956.72,28794.06
1000184,Life,Mass,38.8,1138757.1,0,0.0,17.78,33.13,2049738.99,7224.67
1000185,Auto,Affluent,28.7,352957.81,0,0.0,3.4,35.53,173137.97,7972.56
1000186,Health,Corporate,58.0,660937.22,1,122804.13,2.29,43.46,570128.96,80438.11
1000187,Life,Premium,29.5,750827.29,0,0.0,4.49,30.22,1304688.26,10749.03
1000188,Health,Premium,63.2,2261011.56,2,338663.47,9.29,53.74,1352174.99,197825.19
1000189,Health,Premium,38.3,773753.61,0,0.0,12.05,36.79,670531.26,10186.47
1000190,Auto,Affluent,62.7,268194.07,1,79739.66,3.69,49.74,305299.43,53647.25
1000191,Auto,Mass,50.8,299767.11,0,0.0,6.66,46.8,212176.54,8253.85
1000192,Life,Premium,40.2,917003.27,0,0.0,7.93,34.56,1437885.91,12387.88
1000193,Life,Affluent,35.2,1261388.95,1,66606.64,5.61,44.83,2718635.17,48155.86
1000194,Health,Affluent,37.6,1106431.76,0,0.0,5.9,38.29,1133042.25,7760.37
1000195,Home,Mass,47.6,986889.74,2,143345.18,5.53,48.4,884191.96,86894.01
1000196,Home,Mass,43.0,1705540.83,1,39621.41,6.64,45.68,2098922.11,29500.76
1000197,Health,Mass,34.3,668889.98,1,88096.05,4.67,50.26,476332.44,58392.1
1000198,Life,Premium,39.8,1472321.33,4,299048.93,9.92,65.27,1691147.04,180408.28
1000199,Life,Affluent,43.0,366788.94,0,0.0,5.64,40.25,506091.88,9270.54
1000200,Life,Mass,18.0,547122.9,0,0.0,4.35,28.22,1271051.08,6899.3
1000201,Health,Corporate,48.0,333126.4,2,141687.62,3.43,66.53,269898.75,92614.2
1000202,Auto,Mass,29.3,773735.32,4,604161.14,5.01,57.1,697532.51,341196.19
1000203,Auto,Mass,27.0,877389.56,0,0.0,2.87,23.47,677709.89,6992.68
1000204,Life,Mass,20.1,958290.13,0,0.0,13.96,39.64,1198354.46,8588.99
1000205,Health,Affluent,18.7,931159.52,0,0.0,9.69,32.51,675415.5,7095.55
1000206,Auto,Premium,24.4,540362.62,1,90018.68,7.62,38.94,486461.64,61289.56
1000207,Auto,Mass,32.8,810589.94,2,154363.25,7.1,45.59,414793.55,91861.32
1000208,Health,Premium,67.4,394965.77,0,0.0,5.33,57.13,263921.02,12083.18
1000209,Auto,Mass,35.2,1904873.15,0,0.0,4.66,39.42,1710552.95,10528.34
1000210,Auto,Premium,44.3,761583.96,0,0.0,3.45,42.8,622399.51,11090.4
1000211,Health,Affluent,47.2,687806.4,1,127230.99,4.95,47.22,501853.62,79396.6
1000212,Health,Premium,43.7,2156651.24,0,0.0,4.79,40.71,1627267.14,10382.25
1000213,Health,Mass,41.0,454482.39,0,0.0,9.96,48.01,346478.89,7181.03
1000214,Auto,Corporate,26.5,484599.05,1,138004.43,13.56,39.77,560712.7,86875.17
1000215,Health,Affluent,60.9,492489.72,1,184400.69,8.63,38.89,308779.11,110095.52
1000216,Auto,Mass,65.5,867023.0,1,82965.77,2.86,56.18,733477.69,55219.21
1000217,Home,Premium,20.1,1141150.4,0,0.0,1.38,37.1,1372021.27,11812.8
1000218,Life,Mass,28.7,1351832.38,1,129884.07,5.31,42.77,2431634.76,82113.1
1000219,Health,Premium,38.4,3703346.64,1,122293.71,1.66,47.44,2055845.7,79503.85
1000220,Life,Mass,29.5,261179.24,0,0.0,6.43,33.09,390439.36,7654.92
1000221,Health,Affluent,48.6,1257900.5,0,0.0,19.02,40.03,1180015.55,10309.76
1000222,Health,Affluent,32.5,662468.46,1,128378.41,3.32,41.94,475618.36,79818.04
1000223,Auto,Mass,70.1,651883.87,0,0.0,14.03,40.49,577607.95,6835.76
1000224,Home,Mass,57.5,640033.23,1,75404.89,1.38,56.67,833543.01,51709.8
1000225,Auto,Mass,44.8,545974.05,0,0.0,4.29,29.16,341667.2,6575.2
1000226,Auto,Mass,55.4,2273062.73,2,85303.17,2.58,70.9,2434494.04,57863.42
1000227,Travel,Mass,56.4,1430326.89,2,140657.08,3.8,60.74,795820.83,88597.09
1000228,Home,Affluent,34.7,911555.56,0,0.0,0.49,24.38,948363.21,8879.47
1000229,Life,Mass,31.4,1892120.48,0,0.0,11.98,34.54,2157330.61,9363.06
1000230,Health,Mass,43.0,391702.97,2,156182.97,7.96,50.48,221564.51,94787.25
1000231,Life,Affluent,53.2,432900.08,0,0.0,1.7,43.65,661504.53,9511.01
1000232,Health,Mass,43.8,271649.47,2,176832.47,3.07,44.91,237535.53,105546.33
1000233,Health,Premium,21.5,612602.8,2,72757.19,9.75,47.15,505334.03,51788.17
1000234,Home,Premium,31.6,983707.85,1,75368.65,6.84,41.8,796172.82,52138.39
1000235,Auto,Affluent,41.0,952382.73,1,227080.79,6.49,39.57,680920.4,133955.66
1000236,Health,Affluent,41.0,977045.1,1,70165.87,7.02,38.59,670457.03,47822.56
1000237,Auto,Premium,67.6,414185.32,1,64016.65,13.57,57.01,362490.93,46712.38
1000238,Auto,Mass,24.0,1399863.31,1,123804.81,0.47,29.1,1472550.55,76888.62
1000239,Health,Mass,48.6,1026787.11,0,0.0,4.17,43.23,994719.34,7808.96
1000240,Auto,Mass,61.4,1346918.43,1,69230.24,1.47,54.78,1101831.59,48138.65
1000241,Travel,Premium,71.5,317785.16,1,153873.47,3.97,49.91,100000.0,95901.56
1000242,Travel,Mass,36.7,1068183.41,0,0.0,6.88,37.65,424122.82,6286.66
1000243,Life,Affluent,48.4,468306.91,0,0.0,11.71,47.99,857745.02,10865.86
1000244,Home,Corporate,49.4,723331.03,2,89706.32,5.2,48.14,960516.21,63359.57
1000245,Auto,Premium,44.5,1207485.6,3,220931.97,7.15,54.29,834601.25,132425.9
1000246,Travel,Affluent,40.7,946240.01,1,109719.84,7.96,41.19,435934.24,67588.79
1000247,Home,Mass,47.7,563432.63,1,111949.39,8.46,54.34,683018.25,71452.8
1000248,Travel,Premium,18.0,903110.58,1,94842.2,5.65,48.71,639464.11,62650.91
1000249,Travel,Affluent,50.9,387629.64,0,0.0,0.96,30.62,190701.42,7575.29
1000250,Life,Mass,43.6,1694328.59,1,217281.82,3.62,52.34,2590686.68,131647.7
1000251,Auto,Mass,39.1,803910.99,0,0.0,7.39,43.54,666409.38,7108.49
1000252,Home,Premium,68.6,1665028.02,1,104089.87,4.48,61.67,1312235.14,74400.97
1000253,Life,Affluent,33.2,673711.74,1,83392.46,6.12,45.71,803856.08,56692.24
1000254,Home,Premium,36.8,674807.84,1,426893.8,7.28,43.48,541145.56,246700.44
1000255,Auto,Premium,,591163.15,0,0.0,4.29,52.15,583510.75,12080.09
1000256,Health,Affluent,31.2,1457226.76,0,0.0,2.1,40.95,951116.52,9610.25
1000257,Travel,Affluent,34.8,609237.17,0,0.0,1.23,52.58,214424.47,9583.54
1000258,Health,Mass,40.1,1282956.23,0,0.0,7.81,44.73,748729.26,9482.4
1000259,Health,Mass,52.9,729271.39,0,0.0,6.72,41.92,436267.93,8350.2
1000260,Auto,Mass,44.7,303570.83,2,102295.55,2.21,43.82,320629.26,64993.65
1000261,Health,Premium,25.2,657682.33,0,0.0,1.18,30.68,463277.2,10272.39
1000262,Travel,Affluent,35.1,470542.01,0,0.0,11.99,26.87,229600.75,5920.0
1000263,Auto,Premium,34.1,916939.29,1,67966.24,3.3,41.7,762253.97,47938.12
1000264,Health,Mass,41.0,467626.78,0,0.0,12.21,44.7,411455.15,6579.96
1000265,Life,Affluent,47.5,1497692.8,2,359096.87,7.64,52.63,2143004.58,211761.4
1000266,Life,Affluent,47.4,856027.96,1,165465.52,10.96,53.29,1025449.72,101696.07
1000267,Health,Affluent,18.9,816246.97,1,125586.98,6.62,42.22,558434.57,76196.18
1000268,Health,Affluent,55.8,1290952.3,0,0.0,3.0,38.66,931521.88,12085.15
1000269,Home,Mass,45.3,1529266.64,1,69619.93,15.61,46.28,1831382.34,46616.96
1000270,Auto,Affluent,60.0,890105.9,0,0.0,4.27,45.7,848719.76,9027.19
1000271,Life,Mass,47.8,588887.17,0,0.0,9.31,40.68,765148.24,9900.68
1000272,Life,Mass,56.3,339241.24,1,43573.68,10.88,49.14,434088.69,32139.57
1000273,Life,Affluent,48.1,617122.41,0,0.0,3.42,34.39,933832.98,10878.21
1000274,Life,Affluent,59.5,640934.99,1,161955.93,8.64,45.76,1052840.46,99268.37
1000275,Health,Corporate,48.8,954584.69,1,268298.1,7.93,62.24,435933.13,161353.5
1000276,Health,Affluent,40.7,744389.17,0,0.0,12.22,46.76,417052.38,10165.04
1000277,Life,Affluent,71.5,1313903.69,3,488911.47,13.16,54.12,1859160.34,283263.6
1000278,Health,Affluent,53.6,642427.5,0,0.0,2.55,24.41,533012.39,8339.49
1000279,Health,Affluent,49.5,872202.94,2,100420.43,6.92,53.61,688960.2,66134.57
1000280,Life,Mass,25.4,1726044.85,1,145159.43,1.2,47.54,3023820.31,93598.83
1000281,Life,Mass,25.3,1086154.36,4,449896.94,4.48,57.12,2104727.97,257355.46
1000282,Home,Mass,45.8,870766.72,0,0.0,18.73,46.43,799871.91,7953.74
1000283,Home,Mass,43.9,646339.77,1,79791.45,2.71,45.77,492902.01,51850.88
1000284,Auto,Mass,34.0,635312.81,0,0.0,4.38,35.54,390624.16,5704.14
1000285,Health,Mass,43.8,563719.89,1,42937.75,4.54,50.64,315213.82,32366.31
1000286,Auto,Mass,62.7,668369.38,1,,20.0,45.76,530041.63,40653.46
1000287,Home,Corporate,51.0,1363773.78,1,45035.03,6.55,44.92,1364654.34,38558.16
1000288,Health,Mass,27.2,796602.82,0,0.0,8.53,39.87,558736.61,7264.49
1000289,Auto,Affluent,40.6,428383.82,0,0.0,1.45,37.9,346574.85,7595.58
1000290,Health,Mass,31.5,2380076.42,1,61074.05,6.68,56.0,1540742.11,44149.69
1000291,Auto,Affluent,37.0,1073173.71,1,49082.06,5.71,48.69,756750.26,37386.63
1000292,Auto,Mass,36.6,415123.43,0,0.0,1.3,41.66,278994.43,7643.77
1000293,Life,Mass,35.8,705832.43,1,40252.77,2.67,43.23,1275314.81,32459.67
1000294,Home,Affluent,25.7,956597.08,0,0.0,3.95,40.97,898468.18,9254.53
1000295,Auto,Mass,40.3,2298289.47,0,0.0,5.98,35.82,1516469.67,7058.53
1000296,Health,Mass,34.7,489279.02,1,119489.71,6.33,45.31,370944.39,74114.75
1000297,Life,Mass,18.0,1539506.45,0,0.0,1.61,26.75,2650377.74,11596.87
1000298,Auto,Mass,68.7,1943240.65,0,0.0,4.04,51.59,1017323.55,9275.08
1000299,Health,Mass,56.2,636914.16,1,197202.15,6.07,50.09,525446.44,116803.23
1000300,Auto,Mass,37.1,772600.64,1,86240.08,6.89,57.74,440119.99,56975.68
